Sub,First,Hz,Thres,type
1,72,60,0.533352899175125,1
1,72,80,0.956361855418757,1
1,72,90,0.67331739357555,1
1,72,120,0.342809062951068,1
1,72,144,0.283692375856607,1
1,120,60,0.204013291562988,1
1,120,72,0.264208280453497,1
1,120,80,0.457130397406124,1
1,120,90,0.735933262644344,1
1,120,144,0.992422030234803,1
1,72,90,0.992477636675048,2
1,72,120,0.951632135962559,2
1,72,144,0.740005199942353,2
1,120,60,0.648910037245006,2
1,120,72,0.695795087667843,2
1,120,80,0.94046034788341,2
2,72,60,0.537816275451735,1
2,72,80,0.804202587859955,1
2,72,90,0.673105671791871,1
2,72,120,0.3635128354485,1
2,72,144,0.306404591959186,1
2,120,60,0.273673741478152,1
2,120,72,0.353916583479526,1
2,120,80,0.517868421306236,1
2,120,90,0.655044348557369,1
2,120,144,0.993897324478904,1
2,72,90,0.811483766782308,2
2,72,120,0.613662051272551,2
2,72,144,0.603202101453844,2
2,120,60,0.476234854576953,2
2,120,72,0.676931186929441,2
2,120,80,0.574760958459646,2
3,72,60,0.502025889537306,1
3,72,80,0.990945316987327,1
3,72,90,0.615748737555006,1
3,72,120,0.267932739987514,1
3,72,144,0.309744220883261,1
3,120,60,0.227375453636801,1
3,120,72,0.285677606340816,1
3,120,80,0.45722361846468,1
3,120,90,0.661736554298203,1
3,120,144,0.996234089766513,1
3,72,90,0.991495699616984,2
3,72,120,0.679989763253921,2
3,72,144,0.906076772934508,2
3,120,60,0.591133680019716,2
3,120,72,0.780975899566854,2
3,120,80,0.818067778096994,2
4,72,60,0.565113566203965,1
4,72,80,0.868464355181913,1
4,72,90,0.692902493826129,1
4,72,120,0.379279039401784,1
4,72,144,0.316825672121259,1
4,120,60,0.261869457260849,1
4,120,72,0.395928089095587,1
4,120,80,0.51809227994727,1
4,120,90,0.675859844084935,1
4,120,144,0.992535723585306,1
4,72,90,0.929758758956498,2
4,72,120,0.555436897587668,2
4,72,144,0.713633853327161,2
4,120,60,0.631729505215842,2
4,120,72,0.722989817073294,2
4,120,80,0.670729521579555,2
5,72,60,0.487745848207432,1
5,72,80,0.861811108323606,1
5,72,90,0.592300443061483,1
5,72,120,0.311815640742872,1
5,72,144,0.306531777602924,1
5,120,60,0.230213802827199,1
5,120,72,0.315104311851318,1
5,120,80,0.493183866955704,1
5,120,90,0.713186044996246,1
5,120,144,0.996535293283141,1
5,72,90,0.875573923619162,2
5,72,120,0.726707981999629,2
5,72,144,0.639076731340686,2
5,120,60,0.516769113723556,2
5,120,72,0.595413690137769,2
5,120,80,0.652099635742523,2
6,72,60,0.695277502805471,1
6,72,80,0.994861226955494,1
6,72,90,0.786213976313687,1
6,72,120,0.449600440811348,1
6,72,144,0.349782147022841,1
6,120,60,0.272956750892355,1
6,120,72,0.442361421666017,1
6,120,80,0.530995823202444,1
6,120,90,0.850397335160742,1
6,120,144,0.997719030113301,1
6,72,90,0.994984530677729,2
6,72,120,0.943331899163843,2
6,72,144,0.622459013128428,2
6,120,60,0.369104322387566,2
6,120,72,0.932085521016258,2
6,120,80,0.964393307193947,2
7,72,60,0.388011370062219,1
7,72,80,0.677199565964656,1
7,72,90,0.596648908588182,1
7,72,120,0.369262898999655,1
7,72,144,0.250860106300012,1
7,120,60,0.178752000123303,1
7,120,72,0.293668996973678,1
7,120,80,0.351725058543682,1
7,120,90,0.579805875960001,1
7,120,144,0.958835581359307,1
7,72,90,0.754541218003648,2
7,72,120,0.616762014768175,2
7,72,144,0.538219163928083,2
7,120,60,0.494083781723678,2
7,120,72,0.576179951141915,2
7,120,80,0.597405722655918,2
