Sub,frame,Thres,Oddity
1,0,0.309564320738752,1
1,1,1,2
1,2,0.400849608457027,1
1,3,0.973934462943839,2
1,4,0.4980541128882,1
1,5,0.806986949358416,2
1,6,0.435658613815355,1
1,7,0.739056061043733,2
1,8,0.676971924383071,1
2,0,0.235156761338308,1
2,1,0.689817210818432,2
2,2,0.280144505141553,1
2,3,0.683837819901785,2
2,4,0.372342853685205,1
2,5,0.595402510158117,2
2,6,0.33952244274076,1
2,7,0.596262352609929,2
2,8,0.389138612933143,1
3,0,0.174438769419801,1
3,1,0.965260067154231,2
3,2,0.155746638143054,1
3,3,0.597350040486727,2
3,4,0.26633114546303,1
3,5,0.571670673732398,2
3,6,0.287249673724211,1
3,7,0.4089943186124,2
3,8,0.19363602255513,1
4,0,0.170927511039609,1
4,1,0.683238133343618,2
4,2,0.179665007140259,1
4,3,0.436527841906542,2
4,4,0.268807078632731,1
4,5,0.38397273954471,2
4,6,0.219443876214346,1
4,7,0.205168953051973,2
4,8,0.425086128157546,1
5,0,0.267903417678067,1
5,1,0.933388740177288,2
5,2,0.385608319546366,1
5,3,0.214334334215518,2
5,4,0.409091585830949,1
5,5,0.441771958902636,2
5,6,0.758574597997001,1
5,7,0.517023547499269,2
5,8,0.585432131427055,1
6,0,0.205579525456712,1
6,1,0.646481894053361,2
6,2,0.158119665968621,1
6,3,0.593595457315938,2
6,4,0.218210345496706,1
6,5,0.152240834668536,2
6,6,0.0687724856947464,1
6,7,0.272873924355376,2
6,8,0.303051146088675,1
7,0,0.321603454309223,1
7,1,0.838023117960519,2
7,2,0.394533527193181,1
7,3,0.673453052592516,2
7,4,0.376028975019284,1
7,5,0.688915078635014,2
7,6,0.436589475410662,1
7,7,0.679077793157231,2
7,8,0.478704283305312,1
8,0,0.235289955381288,1
8,1,1,2
8,2,0.180547098522247,1
8,3,0.549013344904836,2
8,4,0.212387470166024,1
8,5,0.518440729156669,2
8,6,0.293110707700565,1
8,7,0.520681858306098,2
8,8,0.371002255580619,1
9,0,0.179678998981199,1
9,1,0.732583659686522,2
9,2,0.160187299493382,1
9,3,0.794408560470743,2
9,4,0.32659362471187,1
9,5,0.542557812761203,2
9,6,0.306629788948613,1
9,7,0.55541447520041,2
9,8,0.364406217702095,1
10,0,0.359349395143284,1
10,1,0.881755147541095,2
10,2,0.371394533696631,1
10,3,0.864069750569781,2
10,4,0.546988504473154,1
10,5,0.924781199243826,2
10,6,0.573990739411346,1
10,7,0.751856576094079,2
10,8,0.468033029107804,1
11,0,0.216358256517027,1
11,1,0.637584539035857,2
11,2,0.161939201043851,1
11,3,0.467552165792762,2
11,4,0.319311226480718,1
11,5,0.378445504265845,2
11,6,0.380361703597055,1
11,7,0.393754426385603,2
11,8,0.335019310151816,1
